ORIGIN,ORIGIN_CITY,AIRLINE,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
ABI,Abilene,SkyWest Airlines Inc.,2021,102,14,-2.0816326530612246,32.41132,-99.6819,['IAH'],13.725490196078432
ABQ,Albuquerque,Alaska Airlines Inc.,2021,38,9,-6.8108108108108105,35.04022,-106.60919,['SEA'],23.684210526315788
ABQ,Albuquerque,Allegiant Air,2021,13,7,6.5,35.04022,-106.60919,"['LAS', 'AUS']",53.84615384615385
ABQ,Albuquerque,American Airlines Inc.,2021,58,17,-5.2631578947368425,35.04022,-106.60919,"['ORD', 'PHX']",29.310344827586203
ABQ,Albuquerque,Delta Air Lines Inc.,2021,68,18,1.4558823529411764,35.04022,-106.60919,"['ATL', 'MSP', 'SLC']",26.47058823529412
ABQ,Albuquerque,Envoy Air,2021,75,7,-12.933333333333334,35.04022,-106.60919,"['ORD', 'PHX']",9.333333333333334
ABQ,Albuquerque,Frontier Airlines Inc.,2021,16,7,4.5,35.04022,-106.60919,['DEN'],43.75
ABQ,Albuquerque,Horizon Air,2021,38,8,2.210526315789474,35.04022,-106.60919,['PDX'],21.052631578947366
ABQ,Albuquerque,JetBlue Airways,2021,36,16,4.375,35.04022,-106.60919,['JFK'],44.44444444444444
ABQ,Albuquerque,Mesa Airlines Inc.,2021,137,28,-0.07407407407407407,35.04022,-106.60919,"['PHX', 'IAH']",20.437956204379564
ABQ,Albuquerque,Republic Airline,2021,58,8,-10.964285714285714,35.04022,-106.60919,['ORD'],13.793103448275861
ABQ,Albuquerque,SkyWest Airlines Inc.,2021,456,143,3.3697104677060135,35.04022,-106.60919,"['IAH', 'SLC', 'LAX', 'SFO', 'PHX', 'DEN', 'PDX', 'ORD']",31.359649122807014
ABQ,Albuquerque,Southwest Airlines Co.,2021,753,310,7.08991825613079,35.04022,-106.60919,"['HOU', 'LAX', 'DAL', 'DEN', 'AUS', 'PHX', 'LAS', 'OAK', 'MDW', 'BWI', 'SAN', 'SAT']",41.168658698539176
ABQ,Albuquerque,United Air Lines Inc.,2021,59,19,-1.4915254237288136,35.04022,-106.60919,"['IAH', 'ORD', 'DEN']",32.20338983050847
ABR,Aberdeen,SkyWest Airlines Inc.,2021,48,7,-4.1875,45.44906,-98.42183,['MSP'],14.583333333333334
ABY,Albany,Endeavor Air Inc.,2021,204,12,-9.617647058823529,31.53552,-84.19447,['ATL'],5.88235294117647
ACK,Nantucket,Endeavor Air Inc.,2021,38,6,-13.055555555555555,41.25305,-70.06018,['JFK'],15.789473684210526
ACK,Nantucket,JetBlue Airways,2021,154,59,13.966887417218542,41.25305,-70.06018,"['LGA', 'BOS', 'JFK', 'EWR', 'HPN']",38.311688311688314
ACK,Nantucket,Republic Airline,2021,28,10,-0.12,41.25305,-70.06018,"['PHL', 'ORD', 'LGA', 'CLT']",35.714285714285715
ACV,Arcata/Eureka,SkyWest Airlines Inc.,2021,177,53,5.188235294117647,40.97812,-124.10862,"['SFO', 'DEN', 'PHX', 'LAX']",29.943502824858758
ACY,Atlantic City,Spirit Air Lines,2021,181,48,1.5263157894736843,39.45758,-74.57717,"['MYR', 'MCO', 'TPA', 'ATL', 'MIA', 'SJU']",26.519337016574585
ADQ,Kodiak,Alaska Airlines Inc.,2021,107,35,-0.08,57.74997,-152.49386,['ANC'],32.71028037383177
AEX,Alexandria,Endeavor Air Inc.,2021,100,12,-8.649484536082474,31.32737,-92.54856,['ATL'],12.0
AEX,Alexandria,PSA Airlines Inc.,2021,25,1,-14.8,31.32737,-92.54856,['CLT'],4.0
