ORIGIN,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
ABQ,2019,2800,907,6.430646332607117,35.04022,-106.60919,"['SAN', 'LAS', 'ORD', 'MCI', 'LAX', 'DAL', 'PHX', 'BWI', 'SEA', 'OAK', 'AUS', 'IAH', 'SFO', 'SJC', 'DEN', 'MDW', 'SLC', 'ATL', 'HOU', 'MSP', 'PDX', 'JFK', 'MCO', 'SAT']",32.392857142857146
ABR,2019,68,18,15.151515151515152,45.44906,-98.42183,['MSP'],26.47058823529412
ABY,2019,188,50,-0.43010752688172044,31.53552,-84.19447,['ATL'],26.595744680851062
ACK,2019,166,54,30.038216560509554,41.25305,-70.06018,"['LGA', 'BOS', 'JFK', 'HPN', 'CLT']",32.53012048192771
ACV,2019,208,76,21.714285714285715,40.97812,-124.10862,"['SFO', 'LAX', 'DEN']",36.53846153846153
ACY,2019,164,38,-1.8553459119496856,39.45758,-74.57717,"['TPA', 'MYR', 'MCO', 'ATL']",23.170731707317074
ADQ,2019,50,20,4.608695652173913,57.74997,-152.49386,['ANC'],40.0
AEX,2019,353,130,5.695652173913044,31.32737,-92.54856,"['ATL', 'IAH']",36.827195467422094
AGS,2019,447,132,2.2837528604118993,33.36996,-81.9645,"['ATL', 'CLT', 'ORD']",29.53020134228188
AKN,2019,6,1,-5.5,58.6768,-156.64922,['ANC'],16.666666666666664
ALB,2019,2530,758,4.058158319870759,31.53552,-84.19447,"['ORD', 'MCO', 'BWI', 'CLT', 'TPA', 'EWR', 'DTW', 'DEN', 'ATL', 'MDW', 'MYR', 'MSP', 'PHL', 'SAV']",29.960474308300395
ALO,2019,170,56,4.197530864197531,42.55708,-92.40034,['ORD'],32.94117647058823
AMA,2019,375,128,8.769021739130435,35.21937,-101.70593,"['IAH', 'LAS', 'DAL', 'PHX', 'DEN', 'HOU']",34.13333333333333
ANC,2019,2027,534,-4.162837162837163,61.17432,-149.99619,"['JNU', 'OME', 'SEA', 'SCC', 'MSP', 'CDV', 'BET', 'PDX', 'OTZ', 'ORD', 'FAI', 'DEN', 'HNL', 'DLG', 'PHX', 'LAX', 'EWR', 'ADQ', 'SLC', 'ATL', 'BLI', 'OGG', 'IAH', 'AKN', 'SFO']",26.344351258016772
APN,2019,58,18,-0.017543859649122806,45.07807,-83.56029,"['DTW', 'PLN']",31.03448275862069
ASE,2019,752,314,29.19345238095238,39.22316,-106.86885,"['ORD', 'SFO', 'DEN', 'PHX', 'IAH', 'LAX', 'SLC', 'ATL', 'MSP']",41.755319148936174
